hg,hd,dh
6.18,4.71,1.47
6.19,4.75,1.44
6.22,4.78,1.44
6.20,4.74,1.46
6.11,4.78,1.33
6.15,4.76,1.39
6.17,4.77,1.40
6.14,4.75,1.39
6.20,4.72,1.48
6.21,4.73,1.48
